Time,Wind Turbine,Periodic Consumer,Power To Grid,Battery Storage,Power from Battery
h,kW,kW,kW,kWh,kW
61.67,7.1247,13.0487,0.0000,13.3123,5.9240
61.83,23.9771,13.5240,0.4531,14.9790,-10.0000
62.00,6.7695,13.4219,0.0000,13.8702,6.6524
62.17,18.1022,14.1002,0.0000,14.5372,-4.0019
62.33,16.8839,14.5124,0.0000,14.9325,-2.3715
62.50,0.1836,13.6692,-3.4857,13.2658,10.0000
62.67,20.8824,14.2956,0.0000,14.3636,-6.5867
62.83,7.9417,15.0166,0.0000,13.1844,7.0749
63.00,4.4138,14.9059,-0.4921,11.5178,10.0000
63.17,12.8361,15.7026,0.0000,11.0400,2.8665
63.33,19.2065,15.6129,0.0000,11.6389,-3.5936
63.50,21.0843,15.9454,0.0000,12.4954,-5.1388
63.67,0.0171,16.3109,-6.2938,10.8288,10.0000
63.83,10.2564,15.4454,0.0000,9.9639,5.1890
64.00,9.2660,16.0358,0.0000,8.8356,6.7697
64.17,29.7199,16.7141,3.0058,10.5023,-10.0000
64.33,11.3277,16.7503,0.0000,9.5985,5.4226
64.50,11.1684,17.4771,0.0000,8.5471,6.3087
64.67,28.3403,17.4186,0.9217,10.2137,-10.0000
64.83,11.5828,16.6302,0.0000,9.3725,5.0474
65.00,14.6287,17.8293,0.0000,8.8391,3.2006
65.17,14.0061,18.1292,0.0000,8.1519,4.1230
65.33,18.5758,17.9592,0.0000,8.2547,-0.6166
65.50,13.6518,18.1169,0.0000,7.5105,4.4651
65.67,2.8340,17.2806,-4.4466,5.8438,10.0000
65.83,26.0044,18.0258,0.0000,7.1736,-7.9786
66.00,20.5685,18.2111,0.0000,7.5665,-2.3574
66.17,18.7897,17.9504,0.0000,7.7064,-0.8392
66.33,0.0000,18.9501,-8.9501,6.0397,10.0000
66.50,0.0488,19.0569,-9.0081,4.3731,10.0000
66.67,29.2856,19.7848,0.0000,5.9565,-9.5008
66.83,26.9011,19.6185,0.0000,7.1703,-7.2826
67.00,15.5029,19.6667,0.0000,6.4763,4.1638
67.17,14.8260,18.9760,0.0000,5.7847,4.1500
67.33,7.7947,19.8674,-2.0727,4.1180,10.0000
67.50,12.1361,19.9881,0.0000,2.8093,7.8520
67.67,18.5296,19.2093,0.0000,2.6960,0.6797
67.83,16.1149,19.4830,0.0000,2.1347,3.3682
68.00,18.5201,19.7109,0.0000,1.9362,1.1907
68.17,10.8395,19.5213,0.0000,0.4893,8.6818
68.33,19.2637,20.8440,0.0000,0.2259,1.5803
68.50,24.4164,20.5770,0.0000,0.8658,-3.8393
68.67,8.3617,20.4327,-6.8765,0.0000,5.1945
68.83,8.9725,20.6961,-11.7236,0.0000,0.0000
69.00,12.2954,20.5094,-8.2140,0.0000,0.0000
69.17,0.0146,19.3848,-19.3703,0.0000,0.0000
69.33,8.7263,19.2115,-10.4852,0.0000,0.0000
69.50,6.0970,19.3417,-13.2446,0.0000,0.0000
69.67,6.7218,19.7724,-13.0506,0.0000,0.0000
69.83,16.5099,19.0200,-2.5101,0.0000,0.0000
70.00,2.7113,20.0066,-17.2953,0.0000,0.0000
70.17,22.2668,20.5739,0.0000,0.2822,-1.6929
70.33,4.6503,19.1838,-12.8406,0.0000,1.6929
70.50,12.9556,19.0877,-6.1320,0.0000,0.0000
70.67,7.7652,19.3630,-11.5978,0.0000,0.0000
70.83,0.0075,19.8002,-19.7927,0.0000,0.0000
71.00,4.5012,18.6673,-14.1661,0.0000,0.0000
71.17,10.2627,18.6541,-8.3914,0.0000,0.0000
71.33,10.1709,18.7392,-8.5683,0.0000,0.0000
71.50,20.5403,19.8241,0.0000,0.1194,-0.7162
71.67,5.2203,19.1310,-13.1945,0.0000,0.7162
71.83,11.2958,19.3972,-8.1014,0.0000,0.0000
72.00,18.3397,18.0154,0.0000,0.0540,-0.3243
72.17,7.7637,18.7796,-10.6917,0.0000,0.3243
72.33,13.6639,18.6276,-4.9637,0.0000,0.0000
72.50,29.8496,18.3036,1.5460,1.6667,-10.0000
72.67,3.0722,17.6420,-4.5699,0.0000,10.0000
72.83,5.7515,17.5724,-11.8209,0.0000,0.0000
73.00,0.0221,18.4012,-18.3791,0.0000,0.0000
73.17,13.2574,16.5365,-3.2791,0.0000,0.0000
73.33,4.4908,16.3568,-11.8660,0.0000,0.0000
73.50,22.6081,17.5814,0.0000,0.8378,-5.0267
73.67,8.7601,17.0784,-3.2916,0.0000,5.0267
73.83,0.0455,16.2013,-16.1558,0.0000,0.0000
74.00,27.2893,16.7251,0.5642,1.6667,-10.0000
74.17,25.8383,16.7037,0.0000,3.1891,-9.1346
74.33,4.6828,15.4179,-0.7351,1.5224,10.0000
74.50,5.9771,15.7029,-0.5912,0.0000,9.1346
74.67,0.0096,16.2310,-16.2215,0.0000,0.0000
74.83,5.7619,15.6621,-9.9002,0.0000,0.0000
75.00,17.1530,15.6779,0.0000,0.2458,-1.4751
75.17,25.8687,14.2417,1.6270,1.9125,-10.0000
75.33,0.0057,14.8771,-4.8714,0.2458,10.0000
75.50,3.3847,14.6573,-9.7976,0.0000,1.4751
75.67,0.0000,14.3055,-14.3055,0.0000,0.0000
75.83,0.0095,13.8070,-13.7974,0.0000,0.0000
76.00,5.7318,13.3436,-7.6117,0.0000,0.0000
76.17,14.8029,13.2894,0.0000,0.2522,-1.5135
76.33,26.4340,12.9731,3.4609,1.9189,-10.0000
76.50,29.2163,13.1090,6.1074,3.5856,-10.0000
